交易证券,交收日期,摘要,发生金额,成交数量,成交价格,资金余额,货币代码,委托日期,结算汇率,融资账户
天坛生物  600161,2007-05-08,证券买入,-45883.03,1400,32.7,0.0,人民币,20070508,-,
钢钒GFC1  031002,2007-05-08,证券卖出,46480.35,7400,6.289,0.0,人民币,20070508,-,
钢钒GFC1  031002,2007-05-08,证券买入,-46816.71,7400,6.319,0.0,人民币,20070508,-,
振华Ｂ股  900947,2007-05-08,Tn证券卖出,3054.23,1900,1.612,5960.63,美元,20070508,-,
-  -,2007-05-08,资金冻结,2906.4,0,0.0,0.0,美元,0,-,
-  -,2007-05-08,资金冻结,46854.26,0,0.0,0.0,人民币,0,-,
天坛生物  600161,2007-05-09,证券买入,-89000.14,3000,29.6,0.0,人民币,20070509,-,
航天通信  600677,2007-05-09,证券卖出,264857.68,13000,20.42,0.0,人民币,20070509,-,
航天通信  600677,2007-05-09,证券卖出,99723.11,5000,19.99,0.0,人民币,20070509,-,
航天通信  600677,2007-05-10,证券买入,-99274.89,5000,19.81,0.0,人民币,20070510,-,
雅戈QCB1  580006,2007-05-10,证券卖出,17.1,1,22.101,0.0,人民币,20070510,-,
天坛生物  600161,2007-05-10,证券买入,-91706.13,3000,30.5,0.0,人民币,20070510,-,
振华Ｂ股  900947,2007-05-10,Tn证券卖出,3625.82,2000,1.818,3625.82,美元,20070510,-,
-  -,2007-05-10,资金冻结,99257.79,0,0.0,0.0,人民币,0,-,
-  -,2007-05-10,资金冻结,91706.63,0,0.0,0.0,人民币,0,-,
航天通信  600677,2007-05-11,证券买入,-83738.78,4300,19.43,0.0,人民币,20070511,-,
振华Ｂ股  900947,2007-05-11,Tn证券卖出,7459.07,4000,1.87,11364.11,美元,20070511,-,
振华Ｂ股  900947,2007-05-11,Tn证券卖出,3905.04,2000,1.958,3905.04,美元,20070511,-,
-  -,2007-05-11,资金冻结,85074.84,0,0.0,0.0,人民币,0,-,
-  -,2007-05-14,资金冻结,7998.62,0,0.0,0.0,美元,0,-,
-  -,2007-05-14,资金冻结,3844.72,0,0.0,0.0,美元,0,-,
-  -,2007-05-14,资金冻结,5974.67,0,0.0,0.0,美元,0,-,
-  -,2007-05-15,资金冻结,92.7,0,0.0,0.0,美元,0,-,
-  -,2007-05-16,资金冻结,136.08,0,0.0,0.0,美元,0,-,
-  -,2007-05-16,资金冻结,18.26,0,0.0,0.0,美元,0,-,
陆家Ｂ股  900932,2007-05-16,Tn证券买入,-7998.62,3100,2.573,-11696.52,美元,20070516,-,
陆家Ｂ股  900932,2007-05-16,Tn证券买入,-3852.24,1500,2.561,-3697.9,美元,20070516,-,
陆家Ｂ股  900932,2007-05-16,Tn证券买入,-5966.64,2500,2.38,-17663.16,美元,20070516,-,
天坛生物  600161,2007-05-16,证券卖出,100752.42,3400,29.7,0.0,人民币,20070516,-,
天坛生物  600161,2007-05-16,证券卖出,60243.96,2000,30.19,0.0,人民币,20070516,-,
宝商集团  000796,2007-05-16,证券买入,-92204.25,10000,9.2,0.0,人民币,20070516,-,
航天通信  600677,2007-05-16,证券卖出,29728.55,1300,22.92,0.0,人民币,20070516,-,
天坛生物  600161,2007-05-17,证券买入,-63915.0,2020,31.57,0.0,人民币,20070517,-,
陆家Ｂ股  900932,2007-05-17,Tn证券卖出,2917.81,1100,2.66,-77.52,美元,20070517,-,
航天通信  600677,2007-05-17,证券买入,-34743.46,1500,23.11,0.0,人民币,20070517,-,
陆家Ｂ股  900932,2007-05-17,Tn证券买入,-2548.11,1000,2.541,430.23,美元,20070517,-,
陆家Ｂ股  900932,2007-05-17,Tn证券买入,-3425.56,1400,2.44,-2995.33,美元,20070517,-,
-  -,2007-05-17,资金冻结,601.15,0,0.0,0.0,人民币,0,-,
陆家Ｂ股  900932,2007-05-17,Tn证券卖出,2772.32,1000,2.78,2772.32,美元,20070517,-,
陆家Ｂ股  900932,2007-05-17,Tn证券卖出,2781.2,1000,2.789,5553.52,美元,20070517,-,
陆家Ｂ股  900932,2007-05-17,Tn证券买入,-2575.18,1000,2.568,2978.34,美元,20070517,-,
-  -,2007-05-17,资金冻结,98087.87,0,0.0,0.0,人民币,0,-,
抚顺特钢  600399,2007-05-18,证券买入,-64632.05,4900,13.16,0.0,人民币,20070518,-,
天坛生物  600161,2007-05-18,证券卖出,65512.23,2000,32.83,0.0,人民币,20070518,-,
抚顺特钢  600399,2007-05-18,证券买入,-79915.2,6200,12.86,0.0,人民币,20070518,-,
天坛生物  600161,2007-05-18,证券卖出,98477.88,3000,32.9,0.0,人民币,20070518,-,
抚顺特钢  600399,2007-05-18,证券买入,-8945.8,700,12.75,0.0,人民币,20070518,-,
抚顺特钢  600399,2007-05-18,证券买入,-10279.77,800,12.82,0.0,人民币,20070518,-,
抚顺特钢  600399,2007-05-18,证券买入,-147993.49,11700,12.62,0.0,人民币,20070518,-,
天坛生物  600161,2007-05-18,证券卖出,196711.25,6020,32.75,0.0,人民币,20070518,-,
抚顺特钢  600399,2007-05-18,证券买入,-128815.51,10200,12.6,0.0,人民币,20070518,-,
陆家Ｂ股  900932,2007-05-18,Tn证券卖出,5861.15,2400,2.449,38.87,美元,20070518,-,
航天通信  600677,2007-05-18,证券卖出,79409.81,3500,22.74,0.0,人民币,20070518,-,
陆家Ｂ股  900932,2007-05-18,Tn证券买入,-5884.42,2400,2.445,-5822.28,美元,20070518,-,
陆家Ｂ股  900932,2007-05-18,Tn证券卖出,3137.2,1300,2.42,62.14,美元,20070518,-,
陆家Ｂ股  900932,2007-05-18,Tn证券卖出,2898.27,1200,2.422,-3075.06,美元,20070518,-,
陆家Ｂ股  900932,2007-05-18,Tn证券买入,-5936.56,2500,2.368,-5973.33,美元,20070518,-,
陆家Ｂ股  900932,2007-05-18,Tn证券卖出,5978.22,2500,2.398,-36.77,美元,20070518,-,
陆家Ｂ股  900932,2007-05-18,Tn证券买入,-6014.99,2600,2.307,-6014.99,美元,20070518,-,
-  -,2007-05-18,资金冻结,49.64,0,0.0,0.0,人民币,0,-,
-  -,2007-05-18,资金冻结,613.97,0,0.0,0.0,人民币,0,-,
-  -,2007-05-18,资金冻结,688.44,0,0.0,0.0,人民币,0,-,
抚顺特钢  600399,2007-05-21,证券买入,-92583.16,7100,13.01,0.0,人民币,20070521,-,
宝商集团  000796,2007-05-21,证券卖出,92793.53,10000,9.3,0.0,人民币,20070521,-,
-  -,2007-05-21,资金冻结,6518.69,0,0.0,0.0,美元,0,-,
飞乐音响  600651,2007-05-22,证券买入,-58661.03,3100,18.88,0.0,人民币,20070522,-,
飞乐音响  600651,2007-05-22,证券买入,-104131.15,5500,18.89,0.0,人民币,20070522,-,
天坛生物  600161,2007-05-22,证券卖出,163133.02,5000,32.7,0.0,人民币,20070522,-,
飞乐音响  600651,2007-05-22,证券买入,-173643.81,9200,18.832,0.0,人民币,20070522,-,
航天通信  600677,2007-05-22,证券卖出,172813.49,6000,28.867,0.0,人民币,20070522,-,
陆家Ｂ股  900932,2007-05-22,Tn证券卖出,2583.75,1000,2.591,6418.31,美元,20070522,-,
陆家Ｂ股  900932,2007-05-22,Tn证券卖出,3820.28,1500,2.554,3834.56,美元,20070522,-,
-  -,2007-05-22,资金冻结,14.28,0,0.0,0.0,美元,0,-,
-  -,2007-05-22,资金冻结,1001.7,0,0.0,0.0,人民币,0,-,
陆家Ｂ股  900932,2007-05-23,Tn证券买入,-6515.58,2600,2.499,5860.84,美元,20070523,-,
-  -,2007-05-23,资金冻结,5450.0,0,0.0,0.0,美元,0,-,
-  -,2007-05-23,资金冻结,6926.42,0,0.0,0.0,美元,0,-,
-  -,2007-05-24,资金冻结,28.39,0,0.0,0.0,美元,0,-,
陆家Ｂ股  900932,2007-05-24,Tn证券卖出,2684.48,1000,2.692,2712.87,美元,20070524,-,
陆家Ｂ股  900932,2007-05-24,Tn证券买入,-6920.51,2700,2.556,-4207.64,美元,20070524,-,
陆家Ｂ股  900932,2007-05-24,Tn证券卖出,12215.72,5000,2.45,8008.08,美元,20070524,-,
陆家Ｂ股  900932,2007-05-24,Tn证券卖出,4349.4,1600,2.726,12357.48,美元,20070524,-,
陆家Ｂ股  900932,2007-05-25,Tn证券买入,-6823.03,2700,2.52,-12233.13,美元,20070525,-,
陆家Ｂ股  900932,2007-05-25,Tn证券买入,-5433.16,2100,2.58,-5410.1,美元,20070525,-,
-  -,2007-05-25,资金冻结,23.06,0,0.0,0.0,美元,0,-,
陆家Ｂ股  900932,2007-05-28,Tn证券卖出,3889.09,1500,2.6,-12898.95,美元,20070528,-,
陆家Ｂ股  900932,2007-05-28,Tn证券买入,-6960.62,2800,2.479,-16788.04,美元,20070528,-,
陆家Ｂ股  900932,2007-05-28,Tn证券买入,-9827.42,4000,2.45,-9827.42,美元,20070528,-,
陆家Ｂ股  900932,2007-05-28,Tn证券卖出,12873.86,5000,2.582,-25.09,美元,20070528,-,
许继电气  000400,2007-05-29,证券买入,-88297.6,4900,17.98,0.0,人民币,20070529,-,
抚顺特钢  600399,2007-05-29,证券卖出,89255.4,6000,14.91,0.0,人民币,20070529,-,
许继电气  000400,2007-05-29,证券买入,-82997.84,4700,17.62,0.0,人民币,20070529,-,
抚顺特钢  600399,2007-05-29,证券卖出,82634.53,5600,14.79,0.0,人民币,20070529,-,
陆家Ｂ股  900932,2007-05-29,Tn证券买入,-6272.51,2500,2.502,6626.0,美元,20070529,-,
陆家Ｂ股  900932,2007-05-29,Tn证券卖出,6060.49,2500,2.431,12898.51,美元,20070529,-,
陆家Ｂ股  900932,2007-05-29,Tn证券卖出,6838.02,2800,2.449,6838.02,美元,20070529,-,
-  -,2007-05-29,资金冻结,593.62,0,0.0,0.0,人民币,0,-,
-  -,2007-05-29,资金冻结,363.81,0,0.0,0.0,人民币,0,-,
陆家Ｂ股  900932,2007-05-29,Tn证券买入,-6648.56,2600,2.55,-22.56,美元,20070529,-,
陆家Ｂ股  900932,2007-05-30,Tn证券卖出,5368.94,2000,2.692,36068.18,美元,20070530,-,
陆家Ｂ股  900932,2007-05-30,Tn证券卖出,15217.3,5600,2.725,30699.24,美元,20070530,-,
-  -,2007-05-30,资金冻结,5097.95,0,0.0,0.0,美元,0,-,
-  -,2007-05-30,资金冻结,2830.62,0,0.0,0.0,美元,0,-,
-  -,2007-05-30,资金冻结,7553.37,0,0.0,0.0,美元,0,-,
抚顺特钢  600399,2007-05-31,证券买入,-1215.62,100,12.06,0.0,人民币,20070531,-,
-  -,2007-05-31,资金冻结,1216.12,0,0.0,0.0,人民币,0,-,
-  -,2007-05-31,资金冻结,5073.72,0,0.0,0.0,美元,0,-,
-  -,2007-06-01,资金冻结,12.27,0,0.0,0.0,美元,0,-,
-  -,2007-06-01,资金冻结,2451.21,0,0.0,0.0,美元,0,-,
陆家Ｂ股  900932,2007-06-01,Tn证券买入,-5097.95,2100,2.416,-5465.09,美元,20070601,-,
陆家Ｂ股  900932,2007-06-01,Tn证券买入,-7552.87,2900,2.592,-13017.96,美元,20070601,-,
陆家Ｂ股  900932,2007-06-01,Tn证券买入,-2830.62,1100,2.561,-367.14,美元,20070601,-,
陆家Ｂ股  900932,2007-06-04,Tn证券买入,-6426.67,2600,2.46,2418.46,美元,20070604,-,
陆家Ｂ股  900932,2007-06-04,Tn证券卖出,5320.34,2200,2.43,5320.34,美元,20070604,-,
陆家Ｂ股  900932,2007-06-04,Tn证券买入,-5073.21,2200,2.295,-2654.75,美元,20070604,-,
陆家Ｂ股  900932,2007-06-04,Tn证券卖出,3524.79,1400,2.53,8845.13,美元,20070604,-,
陆家Ｂ股  900932,2007-06-05,Tn证券卖出,5740.74,2300,2.508,5740.74,美元,20070605,-,
陆家Ｂ股  900932,2007-06-05,Tn证券买入,-8203.38,3300,2.474,-2462.64,美元,20070605,-,
陆家Ｂ股  900932,2007-06-15,Tn证券卖出,3284.87,1300,2.539,3284.87,美元,20070615,-,
陆家Ｂ股  900932,2007-06-15,Tn证券买入,-3260.36,1300,2.496,24.51,美元,20070615,-,
亚泰集团  600881,2007-06-21,证券买入,-23626.29,900,26.14,0.0,人民币,20070621,-,
亚泰集团  600881,2007-06-21,证券买入,-28957.79,1100,26.214,0.0,人民币,20070621,-,
许继电气  000400,2007-06-21,证券卖出,173887.06,9600,18.19,0.0,人民币,20070621,-,
亚泰集团  600881,2007-06-21,证券买入,-28997.96,1100,26.25,0.0,人民币,20070621,-,
亚泰集团  600881,2007-06-21,证券买入,-91914.74,3500,26.15,0.0,人民币,20070621,-,
亚泰集团  600881,2007-06-22,证券买入,-63469.2,2500,25.28,0.0,人民币,20070622,-,
抚顺特钢  600399,2007-06-22,证券卖出,161474.52,15100,10.74,0.0,人民币,20070622,-,
亚泰集团  600881,2007-06-22,证券买入,-73828.15,2900,25.35,0.0,人民币,20070622,-,
亚泰集团  600881,2007-06-22,证券买入,-22912.28,900,25.35,0.0,人民币,20070622,-,
-  -,2007-06-25,资金冻结,1510.77,0,0.0,0.0,人民币,0,-,
抚顺特钢  600399,2007-06-25,证券卖出,138438.97,14999,9.27,0.0,人民币,20070625,-,
五粮YGC1  030002,2007-06-25,证券买入,-137765.12,4300,32.0,0.0,人民币,20070625,-,
亚泰集团  600881,2007-06-25,证券买入,-142362.93,5700,24.87,0.0,人民币,20070625,-,
飞乐音响  600651,2007-06-25,证券卖出,216834.01,17000,12.81,0.0,人民币,20070625,-,
五粮YGC1  030002,2007-06-25,证券卖出,140183.58,4300,32.64,0.0,人民币,20070625,-,
XR飞乐音  600651,2007-06-26,红股入账,0.0,80,0.0,0.0,人民币,0,-,
-  -,2007-06-26,资金冻结,211498.23,0,0.0,0.0,人民币,0,-,
-  -,2007-06-26,资金冻结,4594.81,0,0.0,0.0,人民币,0,-,
陆家Ｂ股  900932,2007-06-26,Tn证券卖出,286.46,130,2.219,286.46,美元,20070626,-,
亚泰集团  600881,2007-06-26,证券买入,-216092.54,9500,22.65,0.0,人民币,20070626,-,
飞乐音响  600651,2007-07-02,证券卖出,8156.7,879,9.32,0.0,人民币,20070702,-,
飞乐音响  600651,2007-07-03,证券买入,-2100.26,200,10.44,0.0,人民币,20070703,-,
亚泰集团  600881,2007-07-03,证券买入,-562838.68,25600,21.893,0.0,人民币,20070703,-,
南航JTP1  580989,2007-07-03,证券卖出,563544.93,347000,1.626,0.0,人民币,20070703,-,
南航JTP1  580989,2007-07-03,证券买入,-77596.0,47000,1.649,0.0,人民币,20070703,-,
南航JTP1  580989,2007-07-03,证券买入,-497996.88,300000,1.658,0.0,人民币,20070703,-,
亚泰集团  600881,2007-07-03,证券卖出,182368.09,9000,20.35,0.0,人民币,20070703,-,
亚泰集团  600881,2007-07-03,证券卖出,384999.3,19000,20.35,0.0,人民币,20070703,-,
-  -,2007-07-03,资金冻结,1161.95,0,0.0,0.0,人民币,0,-,
-  -,2007-07-03,资金冻结,8461.28,0,0.0,0.0,人民币,0,-,
亚泰集团  600881,2007-07-10,证券卖出,67481.01,3000,22.59,0.0,人民币,20070710,-,
亚泰集团  600881,2007-07-10,证券卖出,129122.07,5700,22.75,0.0,人民币,20070710,-,
-  -,2007-07-11,资金冻结,14.94,0,0.0,0.0,人民币,0,-,
-  -,2007-07-11,资金冻结,110377.1,0,0.0,0.0,人民币,0,-,
-  -,2007-07-11,资金冻结,86223.84,0,0.0,0.0,人民币,0,-,
马钢CWB1  580010,2007-07-11,证券买入,-86183.3,20000,4.304,0.0,人民币,20070711,-,
马钢CWB1  580010,2007-07-11,证券买入,-110187.06,25300,4.35,0.0,人民币,20070711,-,
马钢CWB1  580010,2007-07-11,证券买入,-199129.67,45100,4.41,0.0,人民币,20070711,-,
马钢CWB1  580010,2007-07-11,证券卖出,198929.8,45300,4.397,0.0,人民币,20070711,-,
亚泰集团  600881,2007-07-11,证券买入,-100461.65,4500,22.23,0.0,人民币,20070711,-,
基金景宏  184691,2007-07-11,证券买入,-100584.55,42000,2.392,0.0,人民币,20070711,-,
马钢CWB1  580010,2007-07-11,证券卖出,203156.91,45100,4.51,0.0,人民币,20070711,-,
飞乐音响  600651,2007-07-13,证券买入,-1951.82,200,9.7,0.0,人民币,20070713,-,
-  -,2007-07-13,资金冻结,1952.32,0,0.0,0.0,人民币,0,-,
基金景宏  184691,2007-07-16,证券卖出,233.4,100,2.384,0.0,人民币,20070716,-,
基金景宏  184691,2007-07-17,证券卖出,99816.57,41900,2.385,0.0,人民币,20070717,-,
飞乐音响  600651,2007-07-17,证券买入,-178238.83,18900,9.39,0.0,人民币,20070717,-,
亚泰集团  600881,2007-07-17,证券买入,-58410.7,2750,21.15,0.0,人民币,20070717,-,
亚泰集团  600881,2007-07-17,证券卖出,237033.91,11500,20.7,0.0,人民币,20070717,-,
基金景宏  184691,2007-07-17,证券买入,-1165.0,500,2.32,0.0,人民币,20070717,-,
亚泰集团  600881,2007-07-17,证券买入,-204973.51,10200,20.01,0.0,人民币,20070717,-,
亚泰集团  600881,2007-07-17,证券买入,-99074.02,4700,20.99,0.0,人民币,20070717,-,
-  -,2007-07-17,资金冻结,420.86,0,0.0,0.0,人民币,0,-,
亚泰集团  600881,2007-07-17,证券卖出,205718.15,10000,20.66,0.0,人民币,20070717,-,
抚顺特钢  600399,2007-07-19,证券买入,-2247.71,300,7.45,0.0,人民币,20070719,-,
-  -,2007-07-19,资金冻结,977.21,0,0.0,0.0,人民币,0,-,
基金景宏  184691,2007-07-19,证券卖出,1271.0,500,2.552,0.0,人民币,20070719,-,
飞乐音响  600651,2007-07-20,证券卖出,29511.92,3000,9.88,0.0,人民币,20070720,-,
飞乐音响  600651,2007-07-20,证券卖出,32834.53,3301,9.99,0.0,人民币,20070720,-,
亚泰集团  600881,2007-07-20,证券买入,-6671.03,300,22.14,0.0,人民币,20070720,-,
亚泰集团  600881,2007-07-20,证券卖出,101215.38,4650,21.86,0.0,人民币,20070720,-,
抚顺特钢  600399,2007-07-23,证券买入,-133722.08,16200,8.219,0.0,人民币,20070723,-,
飞乐音响  600651,2007-07-23,证券卖出,134616.46,13000,10.4,0.0,人民币,20070723,-,
亚泰集团  600881,2007-07-23,证券买入,-156976.63,7000,22.33,0.0,人民币,20070723,-,
-  -,2007-07-23,资金冻结,156977.13,0,0.0,0.0,人民币,0,-,
亚泰集团  600881,2007-07-24,证券买入,-74855.66,3100,24.045,0.0,人民币,20070724,-,
抚顺特钢  600399,2007-07-24,证券卖出,74391.21,8500,8.79,0.0,人民币,20070724,-,
-  -,2007-07-24,资金冻结,482.52,0,0.0,0.0,人民币,0,-,
深发SFC1  031003,2007-07-27,证券买入,-54284.06,3100,17.49,0.0,人民币,20070727,-,
亚泰集团  600881,2007-07-27,证券卖出,69677.21,2500,27.99,0.0,人民币,20070727,-,
亚泰集团  600881,2007-07-27,证券卖出,68905.48,2500,27.68,0.0,人民币,20070727,-,
津滨发展  000897,2007-07-27,证券买入,-65259.24,4100,15.85,0.0,人民币,20070727,-,
亚泰集团  600881,2007-07-27,证券卖出,65527.89,2400,27.42,0.0,人民币,20070727,-,
深发SFC1  031003,2007-07-27,证券买入,-42170.54,2400,17.55,0.0,人民币,20070727,-,
深发SFC1  031003,2007-07-27,证券买入,-42189.77,2400,17.558,0.0,人民币,20070727,-,
海虹控股  000503,2007-07-27,证券买入,-75286.38,5100,14.7,0.0,人民币,20070727,-,
抚顺特钢  600399,2007-07-27,证券卖出,75193.3,8000,9.44,0.0,人民币,20070727,-,
海虹控股  000503,2007-07-30,证券买入,-90839.75,6200,14.59,0.0,人民币,20070730,-,
深发SFC1  031003,2007-07-30,证券卖出,90466.31,5000,18.115,0.0,人民币,20070730,-,
津滨发展  000897,2007-07-30,证券买入,-51667.12,3000,17.15,0.0,人民币,20070730,-,
深发SFC1  031003,2007-07-30,证券卖出,52455.98,2900,18.11,0.0,人民币,20070730,-,
-  -,2007-07-30,三方银行签约划出,0.0,0,0.0,0.0,人民币,20070730,-,
-  -,2007-07-30,三方银行签约划入,0.0,0,0.0,0.0,人民币,20070730,-,
深发SFC1  031003,2007-07-31,证券买入,-173352.76,8500,20.37,0.0,人民币,20070731,-,
亚泰集团  600881,2007-07-31,证券卖出,171822.5,6300,27.39,0.0,人民币,20070731,-,
深发SFC1  031003,2007-07-31,证券卖出,1983.8,100,19.888,0.0,人民币,20070731,-,
深发SFC1  031003,2007-07-31,证券买入,-1969.0,100,19.64,0.0,人民币,20070731,-,
亚泰集团  600881,2007-07-31,证券买入,-172785.37,6300,27.31,0.0,人民币,20070731,-,
深发SFC1  031003,2007-07-31,证券卖出,173617.41,8700,19.98,0.0,人民币,20070731,-,
深发SFC1  031003,2007-07-31,证券买入,-165672.57,8700,19.02,0.0,人民币,20070731,-,
-  -,2007-07-31,资金冻结,389.11,0,0.0,0.0,人民币,0,-,
-  -,2007-07-31,资金冻结,2695.17,0,0.0,0.0,美元,0,-,
海虹控股  000503,2007-07-31,证券卖出,166421.71,11300,14.79,0.0,人民币,20070731,-,
-  -,2007-08-01,资金冻结,135.92,0,0.0,0.0,美元,0,-,
陆家Ｂ股  900932,2007-08-01,Tn证券卖出,2910.96,1170,2.5,3046.88,美元,20070801,-,
亚泰集团  600881,2007-08-01,证券卖出,219547.56,8000,27.561,0.0,人民币,20070801,-,
深发SFC1  031003,2007-08-01,证券买入,-219265.2,10800,20.278,0.0,人民币,20070801,-,
亚泰集团  600881,2007-08-01,证券卖出,111666.44,4300,26.08,0.0,人民币,20070801,-,
深发SFC1  031003,2007-08-01,证券买入,-111599.21,5800,19.218,0.0,人民币,20070801,-,
深发SFC1  031003,2007-08-02,证券卖出,281768.47,14000,20.151,0.0,人民币,20070802,-,
深发SFC1  031003,2007-08-02,证券买入,-279080.7,13800,20.199,0.0,人民币,20070802,-,
亚泰集团  600881,2007-08-02,证券买入,-41889.63,1600,26.07,0.0,人民币,20070802,-,
深发SFC1  031003,2007-08-02,证券卖出,40930.82,2000,20.49,0.0,人民币,20070802,-,
深发SFC1  031003,2007-08-02,证券卖出,41148.56,2000,20.599,0.0,人民币,20070802,-,
亚泰集团  600881,2007-08-02,证券买入,-83534.72,3200,25.994,0.0,人民币,20070802,-,
-  -,2007-08-02,资金冻结,452.83,0,0.0,0.0,人民币,0,-,
-  -,2007-08-02,资金冻结,939.28,0,0.0,0.0,人民币,0,-,
陆家Ｂ股  900932,2007-08-02,Tn证券买入,-2685.83,1100,2.43,-2685.83,美元,20070802,-,
深发SFC1  031003,2007-08-02,证券卖出,103619.71,5100,20.342,0.0,人民币,20070802,-,
亚泰集团  600881,2007-08-02,证券买入,-102615.09,3900,26.2,0.0,人民币,20070802,-,
深发SFC1  031003,2007-08-02,证券卖出,40948.8,2000,20.499,0.0,人民币,20070802,-,
-  -,2007-08-03,资金冻结,790.78,0,0.0,0.0,人民币,0,-,
-  -,2007-08-03,资金冻结,724.7,0,0.0,0.0,人民币,0,-,
陆家Ｂ股  900932,2007-08-03,Tn证券卖出,5218.55,2100,2.497,5218.55,美元,20070803,-,
深发SFC1  031003,2007-08-03,证券卖出,172193.12,8000,21.55,0.0,人民币,20070803,-,
亚泰集团  600881,2007-08-03,证券买入,-172983.39,6500,26.5,0.0,人民币,20070803,-,
五粮YGC1  030002,2007-08-03,证券买入,-125132.28,3700,33.779,0.0,人民币,20070803,-,
五粮YGC1  030002,2007-08-03,证券卖出,123468.66,3700,33.41,0.0,人民币,20070803,-,
深发SFC1  031003,2007-08-03,证券卖出,126873.37,5800,21.901,0.0,人民币,20070803,-,
陆家Ｂ股  900932,2007-08-03,Tn证券买入,-5351.75,2200,2.421,-133.2,美元,20070803,-,
路桥建设  600263,2007-08-06,证券买入,-128314.88,6700,19.07,0.0,人民币,20070806,-,
-  -,2007-08-06,资金冻结,126211.77,0,0.0,0.0,人民币,0,-,
-  -,2007-08-06,资金冻结,2988.37,0,0.0,0.0,美元,0,-,
-  -,2007-08-06,资金冻结,564.93,0,0.0,0.0,人民币,0,-,
云化CWB1  580012,2007-08-06,证券买入,-126211.27,6600,19.1,0.0,人民币,20070806,-,
亚泰集团  600881,2007-08-06,证券卖出,229262.48,8900,25.87,0.0,人民币,20070806,-,
路桥建设  600263,2007-08-06,证券买入,-228474.87,11800,19.28,0.0,人民币,20070806,-,
云化CWB1  580012,2007-08-06,证券卖出,126963.46,6600,19.26,0.0,人民币,20070806,-,
陆家Ｂ股  900932,2007-08-07,Tn证券卖出,3008.3,1200,2.519,3008.3,美元,20070807,-,
亚泰集团  600881,2007-08-07,证券卖出,252671.82,9999,25.378,0.0,人民币,20070807,-,
路桥建设  600263,2007-08-07,证券卖出,355156.34,18500,19.28,0.0,人民币,20070807,-,
云化CWB1  580012,2007-08-07,证券买入,-251834.64,13300,18.912,0.0,人民币,20070807,-,
-  -,2007-08-08,资金冻结,110827.33,0,0.0,0.0,人民币,0,-,
-  -,2007-08-08,资金冻结,58976.29,0,0.0,0.0,人民币,0,-,
-  -,2007-08-08,资金冻结,185055.5,0,0.0,0.0,人民币,0,-,
陆家Ｂ股  900932,2007-08-08,Tn证券买入,-2987.46,1200,2.478,-25.62,美元,20070808,-,
-  -,2007-08-08,资金冻结,2961.84,0,0.0,0.0,美元,0,-,
云化CWB1  580012,2007-08-08,证券买入,-184943.67,10200,18.11,0.0,人民币,20070808,-,
云化CWB1  580012,2007-08-08,证券买入,-110724.31,6000,18.432,0.0,人民币,20070808,-,
云化CWB1  580012,2007-08-08,证券买入,-59078.31,3200,18.44,0.0,人民币,20070808,-,
亚泰集团  600881,2007-08-09,证券买入,-107628.16,3900,27.48,0.0,人民币,20070809,-,
云化CWB1  580012,2007-08-09,证券卖出,109548.38,6000,18.28,0.0,人民币,20070809,-,
亚泰集团  600881,2007-08-09,证券买入,-111335.94,4100,27.04,0.0,人民币,20070809,-,
陆家Ｂ股  900932,2007-08-09,Tn证券卖出,3016.66,1200,2.526,3016.66,美元,20070809,-,
云化CWB1  580012,2007-08-09,证券卖出,110089.54,6000,18.37,0.0,人民币,20070809,-,
-  -,2007-08-09,资金冻结,1288.08,0,0.0,0.0,人民币,0,-,
陆家Ｂ股  900932,2007-08-10,红利入账,69.8,8170,0.009,0.0,美元,0,-,
陆家Ｂ股  900932,2007-08-10,Tn证券买入,-2961.34,1200,2.456,-2961.34,美元,20070810,-,
亚泰集团  600881,2007-08-13,证券卖出,19.38,1,25.46,0.0,人民币,20070813,-,
-  -,2007-08-14,资金冻结,2018.89,0,0.0,0.0,人民币,0,-,
亚泰集团  600881,2007-08-14,证券卖出,213487.41,7999,26.803,0.0,人民币,20070814,-,
云化CWB1  580012,2007-08-14,证券买入,-214407.58,11800,18.148,0.0,人民币,20070814,-,
中集ZYP1  038006,2007-08-16,证券买入,-10062.06,3000,3.35,0.0,人民币,20070816,-,
-  -,2007-08-16,资金冻结,1045.21,0,0.0,0.0,人民币,0,-,
云化CWB1  580012,2007-08-16,证券卖出,8942.26,500,17.906,0.0,人民币,20070816,-,
中集ZYP1  038006,2007-08-16,证券卖出,9948.05,3000,3.32,0.0,人民币,20070816,-,
云化CWB1  580012,2007-08-16,证券买入,-8990.28,500,17.959,0.0,人民币,20070816,-,
-  -,2007-08-16,资金冻结,90.11,0,0.0,0.0,人民币,0,-,
中集ZYP1  038006,2007-08-17,证券卖出,183787.19,45100,4.08,0.0,人民币,20070817,-,
中集ZYP1  038006,2007-08-17,证券买入,-198357.74,52000,3.81,0.0,人民币,20070817,-,
中集ZYP1  038006,2007-08-17,证券卖出,200728.84,52200,3.85,0.0,人民币,20070817,-,
中集ZYP1  038006,2007-08-17,证券买入,-199904.6,51000,3.915,0.0,人民币,20070817,-,
中集ZYP1  038006,2007-08-17,证券卖出,122674.61,31000,3.962,0.0,人民币,20070817,-,
中集ZYP1  038006,2007-08-17,证券卖出,119796.07,30000,3.998,0.0,人民币,20070817,-,
